86, Saint Lucia,0.758
97, Saint Vincent and the Grenadines,0.736
111, Samoa,0.709
135, Sao Tome and Principe,0.624
40, Saudi Arabia,0.854
168, Senegal,0.516
64, Serbia,0.803
67, Seychelles,0.79
182, Sierra Leone,0.447
11, Singapore,0.936
39, Slovakia,0.858
22, Slovenia,0.912
151, Solomon Islands,0.564
114, South Africa,0.707
185, South Sudan,0.429
25, Spain,0.905
72, Sri Lanka,0.779
170, Sudan,0.506
97, Suriname,0.734
7, Sweden,0.943
2, Switzerland,0.955
151, Syrian Arab Republic,0.563
125, Tajikistan,0.661
163, Tanzania (United Republic of),0.524
79, Thailand,0.772
141, Timor-Leste,0.599
167, Togo,0.51
104, Tonga,0.723
67, Trinidad and Tobago,0.795
95, Tunisia,0.738
54, Turkey,0.817
111, Turkmenistan,0.71
159, Uganda,0.538
74, Ukraine,0.774
31, United Arab Emirates,0.889
13, United Kingdom,0.928
17, United States,0.925
55, Uruguay,0.816
106, Uzbekistan,0.717
140, Vanuatu,0.603
113, Venezuela (Bolivarian Republic of),0.733
117, Viet Nam,0.7
179, Yemen,0.468
146, Zambia,0.582
150, Zimbabwe,0.569
,Human Development,..
 ,Very high human development,0.892
 ,High human development,0.75
 ,Medium human development,0.634
 ,Low human development,0.507
 ,Developing Countries,0.686
,Regions,..
 ,Arab States,0.703
 ,East Asia and the Pacific,0.741
 ,Europe and Central Asia,0.779
 ,Latin America and the Caribbean,0.759
 ,South Asia,0.642
 ,Sub-Saharan Africa,0.541
 ,Least Developed Countries,0.528
 ,Small Island Developing States,0.723
 ,Organization for Economic Co-operation and Development,0.895
 ,World,0.731
